Domain,Count
social media,11
racism,17
food delivery,2
surveillance,8
application,5
automobile,27
climate change,2
automobile assembling,4
e-commerce,3
security,4
military,3
robot,8
ai deepfakes,1
algorithm,1
e-mail,1
beauty contest,2
research,1
campaigns,1
photo application,1
navigation application,1
language model,1
people skill of ai,2
ai psychopath,1
terrorism,1
facial recognition,1
domestic and gender violence,1
helping others,1
aviation,2
passeport,2
shootings,1
war,1
justice,3
corporate spamming,1
troll,1
university,1
medical,1
disease recognition,1
digital modelling,1
delivery,1
sexism,1
online ordering,1
