Techniques,Count
inference,53
facial verification,1
data.collection,1
reinforcement learning,17
bypass authentication attack,1
manipulating apis,1
hacking,1
data collection,27
monitoring radar,1
acoustic surveillance,1
facial detection,1
synthesises voice and video,1
automated email replies,1
facial recognition,1
prompt completion,1
analogical reasoning,1
story generation,1
filtering,3
taser-armed drones,1
reinforcment learning,2
convolutional neural networks (cnns),1
recurrent neural networks (rnns),1
inreference,2
deep learning,1
training,4
extraction,1
