CPE Dependency Name,Count
intel:celeron_j4005,2
paloaltonetworks:pan-os,24
paloaltonetworks:cortex_xdr_agent,1
paloaltonetworks:cortex_xsoar,6
hotdog_project:hotdog,2
showdoc:showdoc,36
mruby:mruby,21
livehelperchat:live_helper_chat,27
redhat:single_sign-on,13
dompdf_project:dompdf,3
transloadit:uppy,2
keystonejs:keystone,2
yourls:yourls,4
gitlab:gitlab,261
google:chrome,483
hoppscotch:hoppscotch,1
digitalbazaar:forge,4
vim:vim,123
mcafee:techcheck,1
tenable:tenable.sc,2
jmty:jimoty,1
framasoft:peertube,8
bologer:anycomment,3
virglrenderer_project:virglrenderer,2
airspan:mimosa_management_platform,7
radare:radare2,45
vfbpro:visual_form_builder,5
forgerock:ldap_connector,2
shelljs_project:shelljs,1
fork-cms:fork_cms,8
cookieinformation:wp-gdpr-compliance,1
premio:mystickyelements,1
visser:store_exporter_for_woocommerce,1
wp_accessibility_helper_project:wp_accessibility_helper,1
follow-redirects_project:follow-redirects,2
phoronix-media:phoronix_test_suite,5
orchardcore:orchardcore,6
ari-soft:ari_fancy_lightbox,1
rednao:smart_forms,1
wpdevart:coming_soon_and_maintenance_mode,3
king-theme:kingcomposer,2
mcafee:agent,7
linux:linux_kernel,322
10web:photo_gallery,10
dolibarr:dolibarr,16
wpbeaveraddons:powerpack_lite_for_beaver_builder,1
snipeitapp:snipe-it,27
expresstech:quiz_and_survey_master,7
machothemes:image_photo_gallery_final_tiles_grid,1
niteothemes:cmp,1
wprssaggregator:wp_rss_aggregator,3
acnam:ad_invalid_click_protector,2
lenovo:pcmanager,6
really-simple-plugins:complianz,1
stanford:corenlp,5
themify:portfolio_post,2
permalink_manager_lite_project:permalink_manager_lite,2
craterapp:crater,8
bluez:bluez,7
yop-poll:yop-poll,2
newstatpress_project:newstatpress,1
ovirt:vdsm,1
mappresspro:mappress,1
facebook-wall-and-social-integration_project:facebook-wall-and-social-integration,1
buffercode:random_banner,1
getshieldsecurity:shield_security,1
10web:spidercalendar,1
popup_\|_custom_popup_builder_project:popup_\|_custom_popup_builder,1
xootix:waitlist_woocommerce,1
qemu:qemu,40
prosody:prosody,5
codemiq:wordpress_email_template_designer,2
jadx_project:jadx,1
welaunch:wordpress_gdpr\&ccpa,2
schneider-electric:scadapack_workbench,1
redhat:keycloak,12
sygnoos:popup_builder,7
miniorange:google_authenticator,3
bwp-google-xml-sitemaps_project:bwp-google-xml-sitemaps,1
metagauss:leadmagic,1
metagauss:profilegrid,1
pluginus:woocs,1
node-fetch_project:node-fetch,2
vjinfotech:wp_import_export_lite,1
rapid7:insight_agent,3
livehelperchat:livehelperchat,4
webence:iq_block_country,3
google:fuchsia,4
contact_form_submissions_project:contact_form_submissions,2
redirection-for-contact-form7:redirection_for_contact_form_7,1
pimcore:pimcore,40
givewp:givewp,9
highfivery:zero-spam,1
deliciousbrains:database_backup,3
hazelcast:hazelcast,1
adrotate_project:adrotate,1
getgrav:grav,9
yetiforce:yetiforce_customer_relationship_management,20
mirantis:bored-agent,1
thimpress:learnpress,5
detekt:detekt,1
calibre-web_project:calibre-web,15
microweber:microweber,64
imagemagick:imagemagick,26
mycred:mycred,5
ad_inserter_project:ad_inserter,2
wow-estore:float_menu,1
presscustomizr:nimble_page_builder,1
horovod:horovod,1
google:go-attestation,1
wpdeveloper:essential_addons_for_elementor,3
ohiowebtech:wp_voting_contest,1
mustache_project:mustache,1
jeweltheme:master_addons_for_elementor,1
simple-membership-plugin:simple_membership,5
sophos:sfos,2
moodle:moodle,41
samba:samba,18
conda_loguru_project:conda_loguru,1
b3log:vditor,2
google:perfetto,1
madewithfuel:customize_wordpress_emails_and_alerts,1
xmlsitemapgenerator:xml_sitemap_generator,1
wpbrigade:loginpress,1
wpdeveloper:notificationx,1
vditor_project:vditor,1
lenovo:system_update,1
simple-get_project:simple-get,1
smackcoders:easy_drag_and_drop_all_import,1
webnus:modern_events_calendar_lite,12
capsule8:capsule8,1
libmodbus:libmodbus,1
user-meta:user_meta_user_profile_builder_and_user_management,2
fotobook_project:fotobook,1
embed_swagger_project:embed_swagger,1
ljapps:wp_review_slider,1
video_conferencing_with_zoom_project:video_conferencing_with_zoom,1
crazy_bone_project:crazy_bone,1
sophos:unified_threat_management,3
humananatomyillustrations:interactive_medical_drawing_of_human_body,1
codepeople:wp_time_slots_booking_form,1
python:python,9
isc:bind,20
wpclever:wpc_smart_wishlist_for_woocommerce,2
caseproof:thirstyaffiliates_affiliate_link_manager,3
berocket:advanced_product_labels_for_woocommerce,1
w-zip_project:w-zip,1
wpjos:library_file_manager,1
material_design_for_contact_form_7_project:material_design_for_contact_form_7,1
wp_visitor_statistics_project:wp_visitor_statistics,1
asgaros:asgaros_forum,4
templateinvaders:ti_woocommerce_wishlist,1
gogs:gogs,9
event_list_project:event_list,1
metagauss:registrationmagic,4
videousermanuals:white_label_cms,1
3dflipbook:3d_flipbook,1
supsystic:popup,2
adtribes:product_feed_pro_for_woocommerce,2
keywordrush:content_egg,1
cerber:wp_cerber_security\,2
_anti-spam_\&_malware_scan,2
httpie:httpie,2
insights_from_google_pagespeed_project:insights_from_google_pagespeed,2
joinmastodon:mastodon,3
a3rev:page_view_count,2
gruntjs:grunt,2
karma_project:karma,2
icegram:email_subscribers_\&_newsletters,1
catchplugins:catch_themes_demo_import,2
stylemixthemes:masterstudy_lms,1
ayecode:userswp,1
watchful:xcloner,1
devowl:wordpress_real_cookie_banner,1
simple_banner_project:simple_banner,3
pickplugins:post_grid,3
dwbooster:cp_blocks,1
odude:flexi,1
freshlightlab:menu_image\,1
_icons_made_easy,1
dart:dart_software_development_kit,4
realfavicongenerator:favicon_by_realfavicongenerator,2
laracom_project:laracom,1
otrs:otrs,20
otrs:custom_contact_fields,1
mage-people:event_manager_and_tickets_selling_for_woocommerce,1
easyappointments:easyappointments,2
mirantis:container_cloud_lens_extension,1
redhat:enterprise_linux,3
fidelissecurity:deception,10
string_locator_project:string_locator,1
parantezteknoloji:koha_library_automation,2
openscad:openscad,2
