ID,Title,Description,Date,References
AML.CS0015,India’s Tek Fog Shrouds an Escalating Political War,"Technology is being used against the people, and those in the world’s largest democracy are the latest victims.

For much of Prime Minister Narendra Modi’s nearly eight years in power, the relationship between social media platforms, journalists and India’s ruling Bharatiya Janata Party has been nasty and vitriolic, and almost always murky. Now we can start to understand why.

A browser-based appl...",2022,https://www.bloomberg.com/opinion/articles/2022-01-12/india-s-tek-fog-shrouds-an-escalating-political-war-against-modi-s-critics
AML.CS0016,"Meta says it's shut down a pro-Russian disinformation network, warns of a social media hacking operation","Facebook (FB)'s parent Meta said Monday it has caught dozens of fake, pro-Russian accounts, groups and pages across its platforms trying to spread anti-Ukrainian propaganda as the war in Ukraine continues to rage.

Meta's takedown of the influence campaign also coincided with what company officials described as a separate, intensified push by pro-Russian hackers to compromise the social media acco...",2022,https://edition.cnn.com/2022/02/28/tech/meta-russia-ukraine-disinformation-network/index.html
AML.CS0017,"Libyan Fighters Attacked by a Potentially Unaided Drone, UN Says","A military drone that attacked soldiers during a battle in Libya’s civil war last year may have done so without human control, according to a recent report commissioned by the United Nations.

The drone, which the report described as “a lethal autonomous weapons systems,” was powered by artificial intelligence and used by forces backed by the government based in Tripoli, the capital, against enemy...",2021,https://www.nytimes.com/2021/06/03/world/africa/libya-drone.html
AML.CS0018,YouTube algorithm accidentally blocks 'black v white' CHESS strategy,"YouTube's overeager AI might have misinterpreted a conversation about chess as racist language.

Last summer, a YouTuber who produces popular chess videos saw his channel blocked for including what the site called 'harmful and dangerous' content.

YouTube didn't explain why it had blocked Croatian chess player Antonio Radic, also known as 'Agadmator,' but service was restored 24 hours later.

Comp...",2021,https://www.dailymail.co.uk/sciencetech/article-9279473/YouTube-algorithm-accidentally-blocked-chess-player-discussing-black-versus-white-strategy.html
AML.CS0019,Was a flying killer robot used in Libya? Quite possibly,"A screenshot from a promotional video advertising the Kargu drone. In the video, the weapon dives toward a target before exploding.

Last year in Libya, a Turkish-made autonomous weapon—the STM Kargu-2 drone—may have “hunted down and remotely engaged” retreating soldiers loyal to the Libyan General Khalifa Haftar, according to a recent report by the UN Panel of Experts on Libya. Over the course of...",2021,https://thebulletin.org/2021/05/was-a-flying-killer-robot-used-in-libya-quite-possibly/
AML.CS0020,Tesla told France there was no sign of technical fault in Paris crash,"PARIS, Dec 15 (Reuters) - Tesla Inc (TSLA.O) has told the French government there is no indication that a fatal accident in Paris involving a Tesla Model 3 taxi was caused by a technical fault, a government spokesman said on Wednesday.

Paris taxi company G7 has suspended the use of the 37 Model 3 cars in its fleet after the accident on Saturday evening, which involved one of its drivers.

BFM TV ...",2021,https://www.reuters.com/business/autos-transportation/french-transport-minister-says-not-worried-about-tesla-after-paris-car-accident-2021-12-15/
AML.CS0021,Rohingya refugees sue Facebook for $150 billion over Myanmar violence,"Dec 6 (Reuters) - Rohingya refugees from Myanmar are suing Meta Platforms Inc (FB.O), formerly known as Facebook, for $150 billion over allegations that the social media company did not take action against anti-Rohingya hate speech that contributed to violence.

A U.S. class-action complaint, filed in California on Monday by law firms Edelson PC and Fields PLLC, argues that the company's failures ...",2021,https://www.reuters.com/world/asia-pacific/rohingya-refugees-sue-facebook-150-billion-over-myanmar-violence-2021-12-07/
AML.CS0022,CEO says controversial AI chatbot ‘Luda’ will socialize in time,"Interactive chatbot ‘Luda,’ subjected to sexual harassment and taught hate speech 　

Korean firm Scatter Lab has defended its Lee Luda chatbot in response to calls to end the service after the bot began sending offensive comments and was subjected to sexual messages.

Kim Jong-yoon, CEO of Scatter Lab, posted answers Friday to the public’s questions through the development team’s official blog, sa...",2021,http://www.koreaherald.com/view.php?ud=20210111001051
AML.CS0023,"Fraudsters Cloned Company Director’s Voice In $35 Million Bank Heist, Police Find","AI voice cloning is used in a huge heist being investigated by Dubai investigators, amidst warnings about cybercriminal use of the new technology.

In early 2020, a bank manager in the Hong Kong received a call from a man whose voice he recognized—a director at a company with whom he’d spoken before. The director had good news: His company was about to make an acquisition, so he needed the bank to...",2021,https://www.forbes.com/sites/thomasbrewster/2021/10/14/huge-bank-fraud-uses-deep-fake-voice-tech-to-steal-millions/?sh=419d63bc7559
AML.CS0024,When an Israeli Farmer Declared War on an Algorithm,"A tax dispute between a ranch in Israel’s southern Negev desert and the country’s tax authority has given rise to an issue which could have far reaching repercussions on the public’s ability to oversee and even understand government acts.

The issue, currently being debated in the Justice Ministry, is whether a software or its source code can be seen as “information” the authorities are obliged to...",2021,https://www.haaretz.com/israel-news/tech-news/.premium-when-an-israeli-farmer-declared-war-on-an-algorithm-1.9440728
