repository,created_at,updated_at,size,num_stars,num_forks
tensorflow/tensorflow,2015-11-07T01:19:20Z,2022-06-12T22:14:55Z,912655,165674,86866
huggingface/transformers,2018-10-29T13:56:00Z,2022-06-12T22:16:05Z,93257,64893,15184
pytorch/pytorch,2016-08-13T05:26:41Z,2022-06-12T22:10:49Z,846233,56592,15686
keras-team/keras,2015-03-28T00:35:42Z,2022-06-12T22:14:29Z,28390,55412,19112
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,2022-06-12T21:58:44Z,141314,50404,23093
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,2022-06-12T22:14:05Z,52317,45518,8016
ageitgey/face_recognition,2017-03-03T21:52:39Z,2022-06-12T20:06:10Z,103958,44840,12304
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,2022-06-12T22:13:37Z,10242,41975,15182
deepfakes/faceswap,2017-12-19T09:44:13Z,2022-06-12T22:13:19Z,200373,41343,11732
JuliaLang/julia,2011-04-21T07:01:50Z,2022-06-12T21:38:08Z,239065,39579,4928
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,2022-06-12T21:50:19Z,1419,38784,4571
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,2022-06-12T22:12:36Z,177885,38191,7430
Avik-Jain/100-Days-Of-ML-Code,2018-07-05T09:11:43Z,2022-06-12T21:47:31Z,10955,37622,9413
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,2022-06-12T15:34:58Z,499,36942,5403
iperov/DeepFaceLab,2018-06-04T13:10:00Z,2022-06-12T22:12:20Z,843050,33121,7565
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,2022-06-12T20:27:35Z,232324,32994,7706
BVLC/caffe,2013-09-12T18:39:48Z,2022-06-12T19:35:32Z,76170,32682,19002
GokuMohandas/MadeWithML,2018-11-05T03:44:27Z,2022-06-12T13:34:53Z,27703,30214,5042
ultralytics/yolov5,2020-05-18T03:45:11Z,2022-06-12T20:43:19Z,12260,27326,9754
ZuzooVn/machine-learning-for-software-engineers,2016-10-09T21:20:25Z,2022-06-12T20:24:09Z,486,25937,6041
fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,2022-06-12T18:54:30Z,684224,25207,9583
ageron/handson-ml,2016-02-16T19:48:39Z,2022-06-12T18:12:52Z,108344,24487,12852
CMU-Perceptual-Computing-Lab/openpose,2017-04-24T14:06:31Z,2022-06-12T15:28:47Z,86451,24344,7161
terryum/awesome-deep-learning-papers,2016-06-03T06:48:30Z,2022-06-12T22:12:12Z,147,23764,4487
google-research/google-research,2018-10-04T18:42:48Z,2022-06-12T22:12:04Z,345399,23690,5793
explosion/spaCy,2014-07-03T15:15:40Z,2022-06-12T21:38:04Z,187051,23570,3847
donnemartin/data-science-ipython-notebooks,2015-01-23T19:38:29Z,2022-06-12T17:24:01Z,49025,23189,7170
dmlc/xgboost,2014-02-06T17:28:03Z,2022-06-12T21:43:05Z,23217,22846,8403
fastai/fastai,2017-09-09T17:43:36Z,2022-06-12T15:36:42Z,784438,22373,7243
eriklindernoren/ML-From-Scratch,2017-02-05T12:11:23Z,2022-06-12T11:53:20Z,553,21142,4167
photoprism/photoprism,2018-01-27T12:00:15Z,2022-06-12T19:38:46Z,120014,20928,1149
ray-project/ray,2016-10-25T19:38:30Z,2022-06-12T18:03:36Z,202548,20884,3620
