ML Tools,Stars,Issues
pytorch,54.9k,7.8k
opencv,60.6k,2k
ray,19.7k,2k
tensorflow,164k,2.3k
paddle,17.8k,2.1k
incubator-mxnet,19.9k,1.8k
darknet,22.5k,1.7k
scikit-learn,49.5k,1.6k
shap,15.8k,1.3k
caffe,32.4k,888
mlflow,11.5k,853
deeplearning4j,12.4k,763
cntk,17.1k,753
bert,30.8k,753
face_recognition,43.6k,649
cuml,2.6k,644
darkflow,6k,599
Theano,9.5k,580
caffe2,8.4k,580
tensor2tensor,12.1k,564
tflearn,9.6k,547
Amazon-sagemaker samples,6.7k,525
google-research,22.5k,501
facenet,12.4k,483
turicreate,10.6k,475
onnx,12.2k,448
mnn,6.6k,421
shogun,2.9k,415
DeepFaceLab,31.9k,405
pytorch-lightning,17.8k,405
hyperopt,6.1k,363
tesseract,44.5k,347
transformers,60.1k,339
catboost,6.4k,335
mediapipe,16.7k,304
horovod,12.3k,297
vaex,7k,293
tiny-dnn,5.5k,275
nni,11.2k,273
tvm,7.9k,269
keras,54.8k,261
dynet,3.3k,256
yolov5,23.9k,242
tpot,8.5k,238
xgboost,22.4k,237
machinelearning notebooks,2.9k,230
pycaret,5.4k,221
synapseml,3.2k,210
scikit-optimize,2.3k,206
xlearn,3k,181
LightGBM,13.6k,170
mars,2.4k,163
dali,3.8k,154
autogluon,4.3k,121
automl,4.9k,114
augmentor,4.7k,112
feast,3k,109
fastai,22.1k,105
gpt-2,15.3k,104
auto-sklearn,6.1k,102
optuna,6.1k,101
gym,27k,100
orchest,2.5k,92
angel,6.5k,90
trax,6.8k,86
spaCy,23k,81
deepdetect,2.3k,79
stylegan3,3.9k,78
autokeras,8.4k,77
orange3,3.3k,76
pocketflow,2.7k,72
adversarial-robustness-toolbox,2.9k,67
adanet,3.4k,64
tensorboardX,7.3k,63
mlpack,3.9k,55
flashlight,4.2k,55
dlib,11k,48
acme,2.6k,47
mace,4.6k,45
auto-pytorch,1.6k,44
dowhy,3.7k,42
pytorch-meta,1.6k,38
foolbox,2.2k,36
model_search,3.2k,35
jina,14.1k,35
kornia,6.1k,34
lime,9.7k,32
flaml,1.8k,25
talos,1.5k,25
sonnet,9.2k,23
faceswap,40.6k,22
cleverhans,5.5k,22
keras-rl,5.2k,12
tensorpack,6.2k,12
tensorforce,3.1k,10
smile,5.5k,9
openface,14.3k,7
deepface,3.5k,3
dmtk,2.8k,1
predictionio,12.5k,0
